word,phonetic,meaning,example
Haughty,/ˈhɒt.i/,Arrogantly superior or disdainful.,His haughty attitude alienated his coworkers.
Impecunious,/ˌɪm.pɪˈkjuː.ni.əs/,Having little or no money.,The impecunious artist struggled to buy supplies.
Juxtapose,/ˈdʒʌk.stə.poʊz/,To place side by side for contrast or comparison.,The designer juxtaposed modern art with antiques.
Kowtow,/ˈkaʊ.taʊ/,To act in a submissive way to please someone.,He refused to kowtow to peer pressure.
Luminous,/ˈluː.mɪ.nəs/,Emitting light; glowing.,The luminous moon illuminated the dark forest.
Mendacity,/menˈdæs.ɪ.ti/,Untruthfulness or tendency to lie.,The politician was accused of mendacity in his speech.
Narcissism,/ˈnɑːr.sɪ.sɪ.zəm/,Excessive self-love or vanity.,His narcissism made him unpopular among peers.
Obsequious,/əbˈsiː.kwɪ.əs/,Excessively eager to please or obey.,The obsequious assistant annoyed his colleagues.
Pariah,/pəˈraɪ.ə/,A social outcast.,"After the scandal, he was treated as a pariah."
Quiescent,/kwaɪˈes.ənt/,Inactive or dormant.,The volcano has remained quiescent for years.
Redoubtable,/rɪˈdaʊ.tə.bəl/,"Formidable, especially as an opponent.",They faced a redoubtable competitor.
Sycophant,/ˈsɪk.ə.fænt/,A person who acts obsequiously toward someone important.,The CEO was surrounded by sycophants.
Trenchant,/ˈtren.tʃənt/,"Incisive or keen, sharp in expression or style.",Her trenchant analysis impressed the critics.
Uxorious,/ʌkˈsɔːr.i.əs/,Excessively devoted or submissive to one’s wife.,"He was an uxorious husband, always putting her first."
Vacillate,/ˈvæs.ɪ.leɪt/,To waver between different opinions or actions.,He vacillated between accepting and declining the offer.
Winsome,/ˈwɪn.səm/,Attractive or charming in a sweet way.,The puppy’s winsome behavior charmed everyone.
Xenophobia,/ˌzen.əˈfoʊ.bi.ə/,Fear or hatred of foreigners or strangers.,Xenophobia is a serious social issue worldwide.
Yare,/jɛər/,"Ready, prepared, or quick to respond.",The yare crew swiftly handled the emergency.
Zephyr,/ˈzef.ər/,"A gentle, soft breeze.",A zephyr cooled the evening air beautifully.
Abstemious,/əbˈstiː.mi.əs/,"Moderate, especially in eating or drinking.","He lived an abstemious life, avoiding all excesses."
Beleaguered,/bɪˈliːɡərd/,Surrounded by difficulties or troubles.,The beleaguered city struggled during the siege.
Cacophony,/kəˈkɒf.ə.ni/,"A harsh, discordant mixture of sounds.",The street was filled with a cacophony of noises.
Dilatory,/ˈdɪl.ə.tɔːr.i/,Slow to act; intended to cause delay.,The lawyer’s dilatory tactics frustrated the court.
Effervescent,/ˌef.ərˈves.ənt/,Vivacious and enthusiastic.,Her effervescent personality charmed everyone.
Fastidious,/fæˈstɪd.i.əs/,Very attentive to detail; hard to please.,The fastidious chef prepared every dish with care.
Gossamer,/ˈɡɒs.ə.mər/,"Very light, thin, and delicate.",She wore a dress made of gossamer fabric.
Histrionic,/ˌhɪs.triˈɒn.ɪk/,Excessively dramatic or emotional.,His histrionic behavior annoyed his colleagues.
Ineffable,/ɪnˈef.ə.bəl/,Too great or extreme to be expressed in words.,The ineffable beauty of the garden stunned visitors.
Jocund,/ˈdʒɒk.ənd/,Cheerful and lighthearted.,The jocund crowd celebrated the festival joyfully.
Kowtow,/ˈkaʊ.taʊ/,To act in an excessively subservient manner.,She refused to kowtow to corrupt officials.
Languid,/ˈlæŋ.ɡwɪd/,Displaying weakness or fatigue; slow and relaxed.,The hot weather made him feel languid and tired.
Myriad,/ˈmɪr.i.əd/,A countless or extremely great number.,There are myriad stars in the night sky.
Nefarious,/nəˈfer.i.əs/,Wicked or criminal.,The nefarious plot was foiled by the authorities.
Obfuscate,/ˈɒb.fʌ.skeɪt/,To make unclear or difficult to understand.,The politician tried to obfuscate the issue.
Palliative,/ˈpæl.i.ə.tɪv/,Relieving pain without curing the cause.,"The treatment was only palliative, not curative."
Quixotic,/kwɪkˈsɒt.ɪk/,Unrealistic and impractical.,His quixotic dreams often led to disappointment.
Recalcitrant,/rɪˈkæl.sɪ.trənt/,Stubbornly refusing to obey.,The recalcitrant student refused to follow rules.
Sagacious,/səˈɡeɪ.ʃəs/,Wise and shrewd.,The sagacious leader made smart decisions.
Trenchant,/ˈtren.tʃənt/,Sharply effective or insightful.,Her trenchant comments impressed the panel.
Ubiquitous,/juːˈbɪk.wɪ.təs/,Present everywhere at once.,Smartphones are ubiquitous these days.
Verdant,/ˈvɜːr.dənt/,Covered with green vegetation; lush.,The verdant meadows were full of flowers.
Winsome,/ˈwɪn.səm/,Charming in a childlike or innocent way.,Her winsome smile won everyone’s affection.
Xenophile,/ˈzen.ə.faɪl/,One who loves foreign cultures.,The xenophile enjoyed traveling widely.
Yawp,/jɔːp/,A loud or harsh cry.,The pup let out a sudden yawp when startled.
Zephyr,/ˈzef.ər/,A gentle breeze.,A cool zephyr drifted through the summer trees.
Alacrity,/əˈlæk.rɪ.ti/,Brisk and cheerful readiness.,She accepted the invitation with alacrity.
Bombastic,/bɒmˈbæs.tɪk/,Using grand or inflated language in speech or writing.,The politician’s bombastic tone annoyed the crowd.
Consternation,/ˌkɒn.stəˈneɪ.ʃən/,Feelings of anxiety or dismay.,The news caused consternation among residents.
Desultory,/ˈdes.əl.tɔːr.i/,Lacking a plan or purpose; random.,His desultory comments lacked focus.
Effulgent,/ɪˈfʌl.dʒənt/,Shining brightly; radiant.,The effulgent sunlight filled the room.
Fatuous,/ˈfætʃ.u.əs/,Silly and pointless.,His fatuous behavior caused embarrassment.
Guilty,/ˈɡɪl.ti/,Responsible for a wrongdoing or crime.,The suspect was found guilty of theft.
Histrionic,/ˌhɪs.triˈɒn.ɪk/,Overly theatrical or melodramatic in behavior.,Her histrionic display drew unwanted attention.
Imperious,/ɪmˈpɪr.i.əs/,Commanding and arrogant.,The imperious tone of the manager upset employees.
Jocular,/ˈdʒɒk.jʊ.lər/,Humorous or playful.,He was a jocular speaker who kept the audience laughing.
Kinetic,/kɪˈnet.ɪk/,Relating to or resulting from motion.,Kinetic energy powers many machines.
Lassitude,/ˈlæs.ɪ.tjuːd/,A state of physical or mental weariness.,"After the marathon, she felt overcome by lassitude."
Mawkish,/ˈmɔː.kɪʃ/,Excessively sentimental; sickeningly sweet.,The movie’s mawkish ending was poorly received.
Noxious,/ˈnɒk.ʃəs/,Harmful or poisonous.,Noxious fumes forced the evacuation of the building.
Obdurate,/ˈɒb.djʊr.ət/,Stubbornly refusing to change one’s mind.,The dictator was obdurate in his refusal to negotiate.
Pallid,/ˈpæl.ɪd/,"Pale, usually because of poor health.",He looked pallid after days of illness.
Quagmire,/ˈkwæɡ.maɪər/,A difficult or complex situation.,The company found itself in a financial quagmire.
Raconteur,/ˌræk.ɒnˈtɜːr/,A skilled storyteller.,The raconteur captivated the audience with his tales.
Sanguine,/ˈsæŋ.ɡwɪn/,Optimistic or hopeful under difficult circumstances.,"Despite setbacks, he remained sanguine about the future."
Truculent,/ˈtrʌk.jʊ.lənt/,Aggressively defiant or hostile.,The truculent teenager constantly challenged authority.
Ubiquitous,/juːˈbɪk.wɪ.təs/,Appearing everywhere at the same time.,Social media is ubiquitous among young people.
Vexed,/vekst/,Annoyed or worried.,The issue became more vexed as they searched for solutions.
Wry,/raɪ/,Dryly humorous or sarcastic.,Her wry observations amused the group.
Xenial,/ˈzɪn.i.əl/,"Friendly relations, especially between host and guest.",The innkeepers were known for their xenial hospitality.
Yawp,/jɔːp/,"A loud, harsh cry or yelp.",The startled dog let out a sudden yawp.
Zephyr,/ˈzef.ər/,"A gentle, mild breeze.",A zephyr cooled the hot afternoon.
Abstruse,/əbˈstruːs/,Difficult to understand; obscure.,The professor’s theory was abstruse to most students.
Bellicose,/ˈbel.ɪ.koʊs/,Demonstrating aggression or willingness to fight.,The bellicose stance of the country alarmed neighbors.
Contrite,/kənˈtraɪt/,Feeling or expressing remorse or penitence.,She was contrite after apologizing for her mistake.
Diaphanous,/daɪˈæf.ə.nəs/,Very sheer and light; almost transparent.,She wore a diaphanous veil at the wedding.
Effulgent,/ɪˈfʌl.dʒənt/,Radiant; shining brightly.,The effulgent sun bathed the valley in golden light.
Fecund,/ˈfiː.kənd/,Fertile; capable of producing abundant growth.,The fecund soil produced a rich harvest.
Glabrous,/ˈɡleɪ.brəs/,Smooth and hairless.,The glabrous leaves reflected the sunlight beautifully.
Hegemony,/hɪˈɡem.ə.ni/,"Leadership or dominance, especially by one group over others.",The country's hegemony in trade was undisputed.
Ineffable,/ɪnˈef.ə.bəl/,Too great or intense to be expressed in words.,The ineffable beauty of the aurora captivated viewers.
Jocular,/ˈdʒɒk.jʊ.lər/,Humorous or playful.,His jocular remarks lightened the mood.
Kafkaesque,/ˌkæf.kəˈesk/,Characteristic of nightmarish complexity or absurdity.,The bureaucratic process was utterly kafkaesque.
Lachrymose,/ˈlæk.rɪ.moʊs/,Tearful; given to weeping.,The lachrymose tale moved many to tears.
Munificent,/mjuːˈnɪf.ɪ.sənt/,Very generous or giving.,The munificent gift funded the new library.
Nefarious,/nəˈfer.i.əs/,Wicked or villainous.,The villain’s nefarious scheme was uncovered.
Opprobrium,/əˈproʊ.bri.əm/,Harsh criticism or public disgrace.,The politician faced opprobrium after the scandal.
Perspicacious,/ˌpɜː.spɪˈkeɪ.ʃəs/,Having keen insight or judgment.,Her perspicacious mind caught the subtle details.
Quixotic,/kwɪkˈsɒt.ɪk/,Unrealistically idealistic or impractical.,His quixotic quest for perfection was admirable but futile.
Redolent,/ˈrɛd.əl.ənt/,Strongly suggestive or reminiscent of something.,The old library was redolent of ancient knowledge.
Sycophant,/ˈsɪk.ə.fænt/,A person who flatters for personal gain.,The manager surrounded himself with sycophants.
Turpitude,/ˈtɜːr.pɪ.tuːd/,Depravity; wickedness.,The criminal's acts revealed his moral turpitude.
Ubiquitous,/juːˈbɪk.wɪ.təs/,Present everywhere.,Wifi has become ubiquitous in urban areas.
Verdant,/ˈvɜːr.dənt/,Green with vegetation; lush.,The verdant garden was a peaceful retreat.
Winsome,/ˈwɪn.səm/,Charming and attractive in a sweet way.,The child gave a winsome smile to the visitors.
Xenial,/ˈzɪn.i.əl/,"Friendly, especially to guests or strangers.",Their xenial welcome made us feel at home immediately.
Yare,/jɛər/,"Ready, nimble, or quick to respond.",The yare ship navigated through the storm expertly.
Zephyr,/ˈzef.ər/,"A gentle, mild breeze.",A zephyr wafted through the autumn leaves.
Auspicious,/ɔːˈspɪʃ.əs/,Favorable or conducive to success.,The sunny weather was auspicious for the outdoor event.
Bloviate,/ˈbloʊ.vi.eɪt/,To speak pompously or boastfully at length.,He bloviated for hours without saying anything meaningful.
Concatenate,/kɒnˈkæt.ɪ.neɪt/,To link together in a series or chain.,The programmer concatenated multiple data streams.
Demure,/dɪˈmjʊər/,Modest and shy; reserved.,She was demure and spoke softly at the interview.
Enervate,/ˈen.ər.veɪt/,To weaken or drain energy from.,The intense heat enervated the runners quickly.
Flummox,/ˈflʌm.ɒks/,To confuse or perplex completely.,The puzzle flummoxed even the smartest players.
Gauche,/ɡoʊʃ/,Socially awkward or tactless.,His gauche comments made the guests uncomfortable.
Hegemony,/hɪˈɡem.ə.ni/,Dominance by one group or country over others.,The empire asserted its hegemony over the region.
Iconoclast,/aɪˈkɒn.ə.klæst/,One who challenges traditional beliefs.,"The artist was an iconoclast, breaking all conventional rules."
Jejune,/dʒɪˈdʒuːn/,"Naive, simplistic, and superficial.",The essay contained jejune arguments that lacked depth.
Kowtow,/ˈkaʊ.taʊ/,To act in a subservient way to gain favor.,He refused to kowtow to corrupt officials.
Lachrymose,/ˈlæk.rɪ.moʊs/,Tearfully or excessively sentimental.,The film’s lachrymose ending moved many to tears.
Mendacious,/menˈdeɪ.ʃəs/,Dishonest or lying.,The mendacious politician was exposed by the press.
Noxious,/ˈnɒk.ʃəs/,Harmful or poisonous.,Noxious fumes forced the evacuation of the factory.
Obdurate,/ˈɒb.djʊr.ət/,Stubbornly refusing to change one's opinion.,"Despite evidence, he remained obdurate in his beliefs."
Pallid,/ˈpæl.ɪd/,"Pale, typically due to poor health.",Her pallid complexion worried her family.
Quixotic,/kwɪkˈsɒt.ɪk/,Unrealistic and idealistic.,His quixotic ideas rarely translated into action.
Recalcitrant,/rɪˈkæl.sɪ.trənt/,Defiantly resistant; stubbornly disobedient.,The recalcitrant employee ignored safety regulations.
Sagacious,/səˈɡeɪ.ʃəs/,Wise; showing keen judgment.,The sagacious judge made fair decisions.
Truculent,/ˈtrʌk.jʊ.lənt/,Aggressively defiant or hostile.,His truculent attitude caused many arguments.
Ubiquitous,/juːˈbɪk.wɪ.təs/,Present or found everywhere.,The company’s logo was ubiquitous at the event.
Verdant,/ˈvɜːr.dənt/,Green with grass or vegetation.,The verdant park was a peaceful escape from the city.
Winsome,/ˈwɪn.səm/,Charming and appealing.,The puppy’s winsome expression won many hearts.
Xenophile,/ˈzen.ə.faɪl/,One who loves foreign cultures or people.,"A true xenophile, she traveled to many countries."
Yare,/jɛər/,Agile; ready and prepared.,The yare sailors handled the ship expertly.
Zephyr,/ˈzef.ər/,"A gentle, soft breeze.",A zephyr stirred the leaves on a warm summer day.
Abstemious,/əbˈstiː.mi.əs/,Characterized by self-control in eating or drinking.,She lived an abstemious life to maintain her health.
Bucolic,/bjuːˈkɒl.ɪk/,Relating to the countryside; pastoral.,They enjoyed the bucolic scenery during their retreat.
Capitulate,/kəˈpɪtʃ.ə.leɪt/,"To surrender, especially under agreed conditions.",The army was forced to capitulate after a long siege.
Disparate,/ˈdɪs.pər.ət/,Fundamentally different or distinct in kind.,The two cultures presented disparate customs.
Effusive,/ɪˈfjuː.sɪv/,Expressing feelings of gratitude or pleasure warmly.,She was effusive in her praise for the volunteers.
Fastidious,/fæˈstɪd.i.əs/,Very attentive to detail; meticulous.,The fastidious editor checked every fact carefully.
Gregarious,/ɡrɪˈɡer.i.əs/,Sociable and fond of company.,The gregarious student quickly made new friends.
Histrionic,/ˌhɪs.triˈɒn.ɪk/,Overly theatrical or emotional in behavior.,Her histrionic reaction seemed insincere to the crowd.
Immutable,/ɪˈmjuː.tə.bəl/,Unable to be changed.,The laws of physics are immutable.
Jocular,/ˈdʒɒk.jʊ.lər/,Playful or humorous.,His jocular comments lightened the mood of the meeting.
Kowtow,/ˈkaʊ.taʊ/,To act in a submissive way to gain favor.,He refused to kowtow to corrupt demands.
Lethargic,/ləˈθɑː.dʒɪk/,Sluggish or lacking energy.,The heat made the workers lethargic and slow.
Magnanimous,/mæɡˈnæn.ɪ.məs/,Very generous or forgiving.,The magnanimous leader pardoned his opponents.
Nefarious,/nəˈfer.i.əs/,Wicked or criminal.,The nefarious scheme was thoroughly dismantled.
Obsequious,/əbˈsiː.kwɪ.əs/,Excessively eager to please or obey.,The obsequious assistant always agreed with his boss.
Penurious,/pəˈnjʊə.ri.əs/,Extremely poor; poverty-stricken.,The penurious artist struggled to make ends meet.
Quixotic,/kwɪkˈsɒt.ɪk/,Unrealistically idealistic or impractical.,His quixotic plan was doomed to fail from the start.
